Economy_Label,1995_Concentration_Index_Value,1995_Concentration_Index_Footnote,1995_Concentration_Index_MissingValue,1996_Concentration_Index_Value,1996_Concentration_Index_Footnote,1996_Concentration_Index_MissingValue,1997_Concentration_Index_Value,1997_Concentration_Index_Footnote,1997_Concentration_Index_MissingValue,1998_Concentration_Index_Value,1998_Concentration_Index_Footnote,1998_Concentration_Index_MissingValue,1999_Concentration_Index_Value,1999_Concentration_Index_Footnote,1999_Concentration_Index_MissingValue,2000_Concentration_Index_Value,2000_Concentration_Index_Footnote,2000_Concentration_Index_MissingValue,2001_Concentration_Index_Value,2001_Concentration_Index_Footnote,2001_Concentration_Index_MissingValue,2002_Concentration_Index_Value,2002_Concentration_Index_Footnote,2002_Concentration_Index_MissingValue,2003_Concentration_Index_Value,2003_Concentration_Index_Footnote,2003_Concentration_Index_MissingValue,2004_Concentration_Index_Value,2004_Concentration_Index_Footnote,2004_Concentration_Index_MissingValue,2005_Concentration_Index_Value,2005_Concentration_Index_Footnote,2005_Concentration_Index_MissingValue,2006_Concentration_Index_Value,2006_Concentration_Index_Footnote,2006_Concentration_Index_MissingValue,2007_Concentration_Index_Value,2007_Concentration_Index_Footnote,2007_Concentration_Index_MissingValue,2008_Concentration_Index_Value,2008_Concentration_Index_Footnote,2008_Concentration_Index_MissingValue,2009_Concentration_Index_Value,2009_Concentration_Index_Footnote,2009_Concentration_Index_MissingValue,2010_Concentration_Index_Value,2010_Concentration_Index_Footnote,2010_Concentration_Index_MissingValue,2011_Concentration_Index_Value,2011_Concentration_Index_Footnote,2011_Concentration_Index_MissingValue,2012_Concentration_Index_Value,2012_Concentration_Index_Footnote,2012_Concentration_Index_MissingValue,2013_Concentration_Index_Value,2013_Concentration_Index_Footnote,2013_Concentration_Index_MissingValue,2014_Concentration_Index_Value,2014_Concentration_Index_Footnote,2014_Concentration_Index_MissingValue,2015_Concentration_Index_Value,2015_Concentration_Index_Footnote,2015_Concentration_Index_MissingValue,2016_Concentration_Index_Value,2016_Concentration_Index_Footnote,2016_Concentration_Index_MissingValue,2017_Concentration_Index_Value,2017_Concentration_Index_Footnote,2017_Concentration_Index_MissingValue,2018_Concentration_Index_Value,2018_Concentration_Index_Footnote,2018_Concentration_Index_MissingValue,2019_Concentration_Index_Value,2019_Concentration_Index_Footnote,2019_Concentration_Index_MissingValue,2020_Concentration_Index_Value,2020_Concentration_Index_Footnote,2020_Concentration_Index_MissingValue,2021_Concentration_Index_Value,2021_Concentration_Index_Footnote,2021_Concentration_Index_MissingValue,2022_Concentration_Index_Value,2022_Concentration_Index_Footnote,2022_Concentration_Index_MissingValue,2023_Concentration_Index_Value,2023_Concentration_Index_Footnote,2023_Concentration_Index_MissingValue,2024_Concentration_Index_Value,2024_Concentration_Index_Footnote,2024_Concentration_Index_MissingValue
"Maldives",0.347,"Estimated",,0.367,"Estimated",,0.383,"Estimated",,0.294,"Estimated",,0.285,"Estimated",,0.283,"Estimated",,0.288,"Estimated",,0.338,"Estimated",,0.398,"Estimated",,0.428,"Estimated",,0.527,"Estimated",,0.72,"Estimated",,0.701,"Estimated",,0.78,"Estimated",,0.626,"Estimated",,0.525,"Estimated",,0.716,"Estimated",,0.767,"Estimated",,0.801,"Estimated",,0.756,"Estimated",,0.712,"Estimated",,0.622,"Estimated",,0.6,"Estimated",,0.453,"Estimated",,0.653,"Estimated",,0.675,"Estimated",,0.603,"Estimated",,0.477,"Estimated",,0.531,"Estimated",,0.402,"Estimated",
"Marshall Islands",0.5,,,0.695,,,0.439,"More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.793,,,0.576,,,0.524,,,0.693,,,0.635,,,0.53,,,0.805,,,0.865,,,0.899,,,0.761,,,0.912,,,0.765,,,0.831,,,0.706,,,0.791,,,0.737,,,0.822,,,0.753,,,0.668,,,0.651,,,0.761,,,0.76,,,0.774,,,0.826,,,0.858,,,0.752,,,0.877,,
"Mauritius",0.347,"Estimated",,0.367,"Estimated",,0.353,"Estimated",,0.353,"Estimated",,0.349,"Estimated",,0.341,"Estimated",,0.326,"Estimated",,0.323,"Estimated",,0.328,"Estimated",,0.315,"Estimated",,0.275,"Estimated",,0.263,"Estimated",,0.258,"Estimated",,0.244,"Estimated",,0.241,"Estimated",,0.212,"Estimated",,0.23,"Estimated",,0.227,"Estimated",,0.219,"Estimated",,0.201,"Estimated",,0.191,"Estimated",,0.188,"Estimated",,0.196,"Estimated",,0.169,"Estimated",,0.175,"Estimated",,0.173,"Estimated",,0.156,"Estimated",,0.155,"Estimated",,0.168,"Estimated",,0.172,"Estimated",
"Micronesia (Federated States of)",0.935,"Estimated",,0.874,"Estimated",,0.722,"Estimated",,0.857,"Estimated",,0.971,"Estimated",,0.712,"Estimated",,0.75,"Estimated",,0.383,"Estimated",,0.432,"Estimated",,0.381,"Estimated",,0.509,"Estimated",,0.507,"Estimated",,0.568,"Estimated",,0.462,"Estimated",,0.622,"Estimated",,0.62,"Estimated",,0.673,"Estimated",,0.855,"Estimated",,0.676,"Estimated",,0.762,"Estimated",,0.751,"Estimated",,0.879,"Estimated",,0.843,"Estimated",,0.761,"Estimated",,0.678,"Estimated",,0.815,"Estimated",,0.808,"Estimated",,0.843,"Estimated",,0.832,"Estimated",,0.897,"Estimated",
"Nauru",0.702,,,0.703,,,0.819,,,0.657,,,0.713,,,0.762,,,0.636,,,0.436,,,0.403,,,0.423,,,0.231,,,0.23,,,0.544,,,0.945,,,0.853,,,0.754,,,0.904,,,0.932,,,0.903,,,0.689,,,0.607,,,0.703,,,0.658,,,0.388,,,0.56,,,0.819,,,0.661,,,0.732,,,0.807,,,0.842,,
"Niue",0.356,,,0.292,,,0.23,,,0.655,,,0.128,,,0.359,,,0.506,,,0.417,,,0.679,,,0.227,,,0.268,,,0.293,,,0.273,,,0.256,,,0.476,,,0.422,,,0.387,,,0.349,,,0.16,,,0.157,,,0.199,,,0.247,,,0.965,,,0.908,,,0.954,,,0.977,,,0.589,,,0.283,,,0.414,,,0.467,,
"Saint Kitts and Nevis",0.428,"Estimated",,0.442,"Estimated",,0.439,"Estimated",,0.389,"Estimated",,0.44,"Estimated",,0.371,"Estimated",,0.382,"Estimated",,0.393,"Estimated",,0.418,"Estimated",,0.374,"Estimated",,0.393,"Estimated",,0.386,"Estimated",,0.336,"Estimated",,0.361,"Estimated",,0.322,"Estimated",,0.343,"Estimated",,0.316,"Estimated",,0.332,"Estimated",,0.316,"Estimated",,0.309,"Estimated",,0.332,"Estimated",,0.308,"Estimated",,0.287,"Estimated",,0.29,"Estimated",,0.27,"Estimated",,0.288,"Estimated",,0.287,"Estimated",,0.251,"Estimated",,0.524,"Estimated",,0.307,"Estimated",
"Saint Lucia",0.498,"Estimated",,0.634,"Estimated",,0.501,"Estimated",,0.537,"Estimated",,0.529,"Estimated",,0.516,"Estimated",,0.359,"Estimated",,0.393,"Estimated",,0.33,"Estimated",,0.355,"Estimated",,0.482,"Estimated",,0.509,"Estimated",,0.337,"Estimated",,0.27,"Estimated",,0.317,"Estimated",,0.256,"Estimated",,0.342,"Estimated",,0.386,"Estimated",,0.414,"Estimated",,0.542,"Estimated",,0.445,"Estimated",,0.451,"Estimated",,0.23,"Estimated",,0.225,"Estimated",,0.3,"Estimated",,0.243,"Estimated",,0.257,,,0.278,,,0.266,,,0.262,,
"Saint Vincent and the Grenadines",0.354,"Estimated",,0.343,"Estimated",,0.376,"Estimated",,0.326,"Estimated",,0.519,"Estimated",,0.379,"Estimated",,0.536,"Estimated",,0.644,"Estimated",,0.368,"Estimated",,0.736,"Estimated",,0.689,"Estimated",,0.759,"Estimated",,0.61,"Estimated",,0.75,"Estimated",,0.688,"Estimated",,0.629,"Estimated",,0.444,"Estimated",,0.38,"Estimated",,0.312,"Estimated",,0.674,"Estimated",,0.638,"Estimated",,0.779,"Estimated",,0.518,"Estimated",,0.487,"Estimated",,0.478,"Estimated",,0.59,"Estimated",,0.676,"Estimated",,0.46,"Estimated",,0.227,"Estimated",,0.304,,
"Samoa",0.72,"Estimated",,0.638,"Estimated",,0.609,"Estimated",,0.501,"Estimated",,0.619,"Estimated",,0.612,"Estimated",,0.677,"Estimated",,0.435,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.493,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.526,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.48,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.59,"Estimated",,0.771,"Estimated",,0.68,"Estimated",,0.397,"Estimated",,0.453,"Estimated",,0.46,"Estimated",,0.326,"Estimated",,0.31,"Estimated",,0.336,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.356,"Estimated",,0.352,"Estimated",,0.31,"Estimated",,0.331,"Estimated",,0.322,"Estimated",,0.296,"Estimated",,0.165,"Estimated",,0.2,"Estimated",,0.18,"Estimated",,0.19,"Estimated",
"Sao Tome and Principe",0.438,"Estimated",,0.544,"Estimated",,0.475,"Estimated",,0.548,"Estimated",,0.379,"Estimated",,0.363,"Estimated",,0.289,"Estimated",,0.474,"Estimated",,0.636,"Estimated",,0.396,"Estimated",,0.581,"Estimated",,0.417,"Estimated",,0.366,"Estimated",,0.477,"Estimated",,0.447,"Estimated",,0.368,"Estimated",,0.445,"Estimated",,0.44,"Estimated",,0.488,"Estimated",,0.569,"Estimated",,0.669,"Estimated",,0.648,"Estimated",,0.623,"Estimated",,0.964,"Estimated",,0.478,"Estimated",,0.336,"Estimated",,0.427,"Estimated",,0.45,"Estimated",,0.437,"Estimated",,0.443,"Estimated",
"Seychelles",0.458,"Estimated",,0.375,"Estimated",,0.51,"Estimated",,0.606,"Estimated",,0.65,"Estimated",,0.569,"Estimated",,0.639,"Estimated",,0.544,"Estimated",,0.57,"Estimated",,0.54,"Estimated",,0.488,"Estimated",,0.566,"Estimated",,0.571,"Estimated",,0.44,"Estimated",,0.413,"Estimated",,0.509,"Estimated",,0.436,"Estimated",,0.612,"Estimated",,0.642,"Estimated",,0.606,"Estimated",,0.499,"Estimated",,0.508,"Estimated",,0.786,"Estimated",,0.413,"Estimated",,0.387,"Estimated",,0.485,"Estimated",,0.474,"Estimated",,0.499,"Estimated",,0.5,"Estimated",,0.488,,
"Singapore",0.222,"Estimated",,0.244,"Estimated",,0.246,"Estimated",,0.25,"Estimated",,0.252,"Estimated",,0.261,"Estimated",,0.242,"Estimated",,0.239,"Estimated",,0.242,"Estimated",,0.245,"Estimated",,0.261,"Estimated",,0.271,"Estimated",,0.245,"Estimated",,0.259,"Estimated",,0.244,"Estimated",,0.261,"Estimated",,0.261,"Estimated",,0.246,"Estimated",,0.253,"Estimated",,0.252,"Estimated",,0.231,"Estimated",,0.23,"Estimated",,0.241,"Estimated",,0.238,"Estimated",,0.227,"Estimated",,0.247,"Estimated",,0.26,"Estimated",,0.265,"Estimated",,0.248,"Estimated",,0.253,,
"Solomon Islands",0.574,"Estimated",,0.593,"Estimated",,0.536,"Estimated",,0.447,"Estimated",,0.468,"Estimated",,0.558,"Estimated",,0.552,"Estimated",,0.627,"Estimated",,0.671,"Estimated",,0.658,"Estimated",,0.749,"Estimated",,0.746,"Estimated",,0.694,"Estimated",,0.612,"Estimated",,0.654,"Estimated",,0.686,"Estimated",,0.579,"Estimated",,0.562,"Estimated",,0.599,"Estimated",,0.656,"Estimated",,0.61,"Estimated",,0.706,"Estimated",,0.644,"Estimated",,0.688,"Estimated",,0.637,"Estimated",,0.621,"Estimated",,0.573,"Estimated",,0.551,"Estimated",,0.476,"Estimated",,0.511,"Estimated",
"Timor-Leste",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",0.325,"Estimated",,0.494,"Estimated",,0.59,"Estimated",,0.446,"Estimated",,0.438,"Estimated",,0.703,"Estimated",,0.729,"Estimated",,0.373,"Estimated",,0.394,"Estimated",,0.879,"Estimated",,0.646,"Estimated",,0.54,"Estimated",,0.87,"Estimated",,0.421,"Estimated",,0.537,"Estimated",,0.506,"Estimated",,0.564,"Estimated",,0.675,"Estimated",,0.644,"Estimated",,0.616,"Estimated",,0.653,"Estimated",,0.628,"Estimated",
"Tonga",0.463,"Estimated",,0.495,"Estimated",,0.581,"Estimated",,0.383,"Estimated",,0.4,"Estimated",,0.408,"Estimated",,0.521,"Estimated",,0.411,"Estimated",,0.373,"Estimated",,0.42,"Estimated",,0.427,"Estimated",,0.392,"Estimated",,0.377,"Estimated",,0.297,"Estimated",,0.334,"Estimated",,0.303,"Estimated",,0.285,"Estimated",,0.32,"Estimated",,0.337,"Estimated",,0.321,"Estimated",,0.402,"Estimated",,0.372,"Estimated",,0.399,"Estimated",,0.35,"Estimated",,0.378,"Estimated",,0.351,"Estimated",,0.31,"Estimated",,0.296,"Estimated",,0.294,"Estimated",,0.293,"Estimated",
"Trinidad and Tobago",0.3,"Estimated",,0.325,"Estimated",,0.284,"Estimated",,0.307,"Estimated",,0.333,"Estimated",,0.376,"Estimated",,0.319,"Estimated",,0.319,"Estimated",,0.343,"Estimated",,0.363,"Estimated",,0.375,"Estimated",,0.397,"Estimated",,0.363,"Estimated",,0.37,"Estimated",,0.412,"Estimated",,0.334,"Estimated",,0.347,"Estimated",,0.333,"Estimated",,0.364,"Estimated",,0.359,"Estimated",,0.342,"Estimated",,0.309,"Estimated",,0.315,"Estimated",,0.313,"Estimated",,0.324,"Estimated",,0.281,"Estimated",,0.297,"Estimated",,0.352,"Estimated",,0.312,"Estimated",,0.295,"Estimated",
"Tuvalu",0.218,"Estimated",,0.317,"Estimated",,0.472,"Estimated",,0.296,"Estimated",,0.19,"Estimated",,0.34,"Estimated",,0.252,"Estimated",,0.45,"Estimated",,0.311,"Estimated",,0.31,"Estimated",,0.238,"Estimated",,0.361,"Estimated",,0.476,"Estimated",,0.194,"Estimated",,0.181,"Estimated",,0.459,"Estimated",,0.747,"Estimated",,0.625,"Estimated",,0.758,"Estimated",,0.633,"Estimated",,0.61,"Estimated",,0.606,"Estimated",,0.577,"Estimated",,0.859,"Estimated",,0.813,"Estimated",,0.555,"Estimated",,0.615,"Estimated",,0.652,"Estimated",,0.708,"Estimated",,0.823,"Estimated",
"Vanuatu",0.229,"Estimated",,0.285,"Estimated",,0.466,"Estimated",,0.445,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.346,"Estimated",,0.565,"Estimated",,0.339,"Estimated",,0.364,"Estimated",,0.474,"Estimated",,0.548,"Estimated",,0.555,"Estimated",,0.729,"Estimated",,0.576,"Estimated",,0.608,"Estimated",,0.69,"Estimated",,0.535,"Estimated",,0.677,"Estimated",,0.224,"Estimated",,0.235,"Estimated",,0.249,"Estimated",,0.231,"Estimated",,0.239,"Estimated",,0.303,"Estimated",,0.225,"Estimated",,0.254,"Estimated",,0.288,"Estimated",,0.27,"Estimated",,0.272,"Estimated",,0.319,"Estimated",,0.368,"Estimated",
"SIDS (Small island developing States) (UN-OHRLLS)",0.189,,,0.209,,,0.209,,,0.208,,,0.21,,,0.221,,,0.204,,,0.204,,,0.21,,,0.214,,,0.236,,,0.244,,,0.22,,,0.238,,,0.22,,,0.236,,,0.24,,,0.224,,,0.229,,,0.226,,,0.205,,,0.204,,,0.215,,,0.212,,,0.202,,,0.221,,,0.232,,,0.231,,,0.218,,,0.222,,
"SIDS: Atlantic and Indian Ocean",0.3,,,0.308,,,0.294,,,0.302,,,0.291,,,0.274,,,0.271,,,0.264,,,0.261,,,0.247,,,0.223,,,0.226,,,0.224,,,0.212,,,0.21,,,0.201,,,0.198,,,0.228,,,0.236,,,0.213,,,0.191,,,0.201,,,0.203,,,0.184,,,0.188,,,0.191,,,0.184,,,0.172,,,0.197,,,0.192,,
"SIDS: Caribbean",0.205,,,0.251,,,0.223,,,0.177,,,0.2,,,0.249,,,0.256,,,0.21,,,0.198,,,0.206,,,0.258,,,0.258,,,0.234,,,0.267,,,0.202,,,0.163,,,0.224,,,0.17,,,0.188,,,0.168,,,0.151,,,0.158,,,0.165,,,0.16,,,0.157,,,0.179,,,0.172,,,0.24,,,0.273,,,0.342,,
"SIDS: Pacific",0.211,,,0.231,,,0.235,,,0.237,,,0.239,,,0.249,,,0.231,,,0.229,,,0.233,,,0.236,,,0.252,,,0.262,,,0.237,,,0.251,,,0.237,,,0.254,,,0.254,,,0.24,,,0.247,,,0.244,,,0.223,,,0.221,,,0.232,,,0.229,,,0.219,,,0.238,,,0.251,,,0.255,,,0.238,,,0.245,,
