Economy_Label,1995_Concentration_Index_Value,1995_Concentration_Index_Footnote,1995_Concentration_Index_MissingValue,1996_Concentration_Index_Value,1996_Concentration_Index_Footnote,1996_Concentration_Index_MissingValue,1997_Concentration_Index_Value,1997_Concentration_Index_Footnote,1997_Concentration_Index_MissingValue,1998_Concentration_Index_Value,1998_Concentration_Index_Footnote,1998_Concentration_Index_MissingValue,1999_Concentration_Index_Value,1999_Concentration_Index_Footnote,1999_Concentration_Index_MissingValue,2000_Concentration_Index_Value,2000_Concentration_Index_Footnote,2000_Concentration_Index_MissingValue,2001_Concentration_Index_Value,2001_Concentration_Index_Footnote,2001_Concentration_Index_MissingValue,2002_Concentration_Index_Value,2002_Concentration_Index_Footnote,2002_Concentration_Index_MissingValue,2003_Concentration_Index_Value,2003_Concentration_Index_Footnote,2003_Concentration_Index_MissingValue,2004_Concentration_Index_Value,2004_Concentration_Index_Footnote,2004_Concentration_Index_MissingValue,2005_Concentration_Index_Value,2005_Concentration_Index_Footnote,2005_Concentration_Index_MissingValue,2006_Concentration_Index_Value,2006_Concentration_Index_Footnote,2006_Concentration_Index_MissingValue,2007_Concentration_Index_Value,2007_Concentration_Index_Footnote,2007_Concentration_Index_MissingValue,2008_Concentration_Index_Value,2008_Concentration_Index_Footnote,2008_Concentration_Index_MissingValue,2009_Concentration_Index_Value,2009_Concentration_Index_Footnote,2009_Concentration_Index_MissingValue,2010_Concentration_Index_Value,2010_Concentration_Index_Footnote,2010_Concentration_Index_MissingValue,2011_Concentration_Index_Value,2011_Concentration_Index_Footnote,2011_Concentration_Index_MissingValue,2012_Concentration_Index_Value,2012_Concentration_Index_Footnote,2012_Concentration_Index_MissingValue,2013_Concentration_Index_Value,2013_Concentration_Index_Footnote,2013_Concentration_Index_MissingValue,2014_Concentration_Index_Value,2014_Concentration_Index_Footnote,2014_Concentration_Index_MissingValue,2015_Concentration_Index_Value,2015_Concentration_Index_Footnote,2015_Concentration_Index_MissingValue,2016_Concentration_Index_Value,2016_Concentration_Index_Footnote,2016_Concentration_Index_MissingValue,2017_Concentration_Index_Value,2017_Concentration_Index_Footnote,2017_Concentration_Index_MissingValue,2018_Concentration_Index_Value,2018_Concentration_Index_Footnote,2018_Concentration_Index_MissingValue,2019_Concentration_Index_Value,2019_Concentration_Index_Footnote,2019_Concentration_Index_MissingValue,2020_Concentration_Index_Value,2020_Concentration_Index_Footnote,2020_Concentration_Index_MissingValue,2021_Concentration_Index_Value,2021_Concentration_Index_Footnote,2021_Concentration_Index_MissingValue,2022_Concentration_Index_Value,2022_Concentration_Index_Footnote,2022_Concentration_Index_MissingValue,2023_Concentration_Index_Value,2023_Concentration_Index_Footnote,2023_Concentration_Index_MissingValue,2024_Concentration_Index_Value,2024_Concentration_Index_Footnote,2024_Concentration_Index_MissingValue
"Dominica",0.354,"Estimated",,0.354,"Estimated",,0.351,"Estimated",,0.329,"Estimated",,0.289,"Estimated",,0.272,"Estimated",,0.258,"Estimated",,0.283,"Estimated",,0.25,"Estimated",,0.237,"Estimated",,0.237,"Estimated",,0.22,"Estimated",,0.201,"Estimated",,0.184,"Estimated",,0.252,"Estimated",,0.278,"Estimated",,0.177,"Estimated",,0.244,"Estimated",,0.333,"Estimated",,0.208,"Estimated",,0.297,"Estimated",,0.199,"Estimated",,0.211,"Estimated",,0.267,"Estimated",,0.227,"Estimated",,0.139,"Estimated",,0.135,"Estimated",,0.141,"Estimated",,0.134,"Estimated",,0.138,"Estimated",
"Dominican Republic",0.208,"Estimated",,0.447,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.358,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.219,"Estimated",,0.228,"Estimated",,0.231,"Estimated",,0.214,"Estimated",,0.219,"Estimated",,0.21,"Estimated",,0.19,"Estimated",,0.173,"Estimated",,0.164,"Estimated",,0.167,"Estimated",,0.143,"Estimated",,0.152,"Estimated",,0.148,"Estimated",,0.133,"Estimated",,0.136,"Estimated",,0.17,"Estimated",,0.192,"Estimated",,0.185,"Estimated",,0.211,"Estimated",,0.195,"Estimated",,0.185,"Estimated",,0.192,"Estimated",,0.213,"Estimated",,0.191,"Estimated",,0.178,"Estimated",,0.182,"Estimated",,0.193,"Estimated",
"Fiji",0.385,"Estimated",,0.343,"Estimated",,0.29,"Estimated",,0.244,"Estimated",,0.268,"Estimated",,0.25,"Estimated",,0.241,"Estimated",,0.22,"Estimated",,0.24,"Estimated",,0.223,"Estimated",,0.247,"Estimated",,0.244,"Estimated",,0.23,"Estimated",,0.233,"Estimated",,0.227,"Estimated",,0.21,"Estimated",,0.27,"Estimated",,0.263,"Estimated",,0.183,"Estimated",,0.242,"Estimated",,0.197,"Estimated",,0.198,"Estimated",,0.211,"Estimated",,0.219,"Estimated",,0.224,"Estimated",,0.188,"Estimated",,0.206,"Estimated",,0.239,"Estimated",,0.255,"Estimated",,0.228,"Estimated",
"Grenada",0.242,"Estimated",,0.237,"Estimated",,0.261,"Estimated",,0.427,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.341,"Estimated",,0.261,"Estimated",,0.257,"Estimated",,0.272,"Estimated",,0.246,"Estimated",,0.327,"Estimated",,0.324,"Estimated",,0.224,"Estimated",,0.354,"Estimated",,0.243,"Estimated",,0.208,,,0.31,"Estimated",,0.283,"Estimated",,0.282,"Estimated",,0.262,"Estimated",,0.247,"Estimated",,0.227,"Estimated",,0.263,"Estimated",,0.228,"Estimated",,0.209,"Estimated",,0.231,"Estimated",,0.227,"Estimated",,0.226,"Estimated",,0.233,"Estimated",,0.176,"Estimated",,0.189,"Estimated",
"Guam",0.908,"Estimated",,0.915,"Estimated",,0.881,"Estimated",,0.923,"Estimated",,0.931,"Estimated",,0.509,"Estimated",,0.584,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.451,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.49,"Estimated",,0.38,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.392,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.401,"Estimated",,0.476,"Estimated",,0.338,"Estimated",,0.344,"Estimated",,0.419,"Estimated",,0.448,"Estimated",,0.491,"Estimated",,0.428,"Estimated",,0.394,"Estimated",,0.381,"Estimated",,0.402,"Estimated",,0.514,"Estimated",,0.511,"Estimated",,0.472,"Estimated",,0.423,"Estimated",,0.49,"Estimated",,0.615,"Estimated",,0.55,"Estimated",,0.494,"Estimated",
"Guinea-Bissau",0.5,,,0.499,"Estimated",,0.499,"Estimated",,0.437,"Estimated",,0.551,"Estimated",,0.585,"Estimated",,0.756,"Estimated",,0.684,"Estimated",,0.821,"Estimated",,0.683,"Estimated",,0.823,"Estimated",,0.806,,,0.802,,,0.807,,,0.923,,,0.914,,,0.917,,,0.917,,,0.92,,,0.701,"Estimated",,0.78,"Estimated",,0.821,"Estimated",,0.904,"Estimated",,0.736,"Estimated",,0.655,,,0.714,,,0.693,,,0.698,,,0.71,,,0.713,,
"Guyana",0.346,"Estimated",,0.34,"Estimated",,0.349,"Estimated",,0.338,"Estimated",,0.336,"Estimated",,0.322,"Estimated",,0.308,"Estimated",,0.315,"Estimated",,0.325,"Estimated",,0.318,"Estimated",,0.297,"Estimated",,0.288,"Estimated",,0.299,"Estimated",,0.336,"Estimated",,0.401,"Estimated",,0.46,"Estimated",,0.496,"Estimated",,0.506,"Estimated",,0.516,"Estimated",,0.464,"Estimated",,0.435,"Estimated",,0.507,"Estimated",,0.46,"Estimated",,0.495,"Estimated",,0.494,"Estimated",,0.522,"Estimated",,0.682,"Estimated",,0.85,"Estimated",,0.832,"Estimated",,0.84,"Estimated",
"Haiti",0.187,"Estimated",,0.234,"Estimated",,0.263,"Estimated",,0.36,"Estimated",,0.444,"Estimated",,0.46,"Estimated",,0.46,"Estimated",,0.445,"Estimated",,0.502,"Estimated",,0.548,"Estimated",,0.633,"Estimated",,0.621,"Estimated",,0.598,"Estimated",,0.551,"Estimated",,0.637,"Estimated",,0.621,"Estimated",,0.619,"Estimated",,0.612,"Estimated",,0.571,"Estimated",,0.559,"Estimated",,0.592,"Estimated",,0.585,"Estimated",,0.568,"Estimated",,0.571,"Estimated",,0.595,"Estimated",,0.547,"Estimated",,0.551,"Estimated",,0.579,"Estimated",,0.551,"Estimated",,0.551,"Estimated",
"Jamaica",0.475,,,0.478,,,0.506,,,0.498,,,0.533,,,0.544,,,0.579,,,0.622,,,0.632,,,0.618,,,0.657,,,0.572,,,0.581,,,0.556,,,0.371,,,0.425,,,0.466,,,0.412,,,0.441,,,0.471,,,0.526,,,0.441,,,0.464,,,0.616,,,0.506,,,0.439,,,0.402,,,0.407,,,0.397,,,0.406,,
"Kiribati",0.45,"Estimated",,0.385,"Estimated",,0.4,"Estimated",,0.566,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.475,"Estimated",,0.576,"Estimated",,0.611,"Estimated",,0.759,"Estimated",,0.754,"Estimated",,0.523,"Estimated",,0.329,"Estimated",,0.282,"Estimated",,0.351,"Estimated",,0.691,"Estimated",,0.633,"Estimated",,0.629,"Estimated",,0.782,"Estimated",,0.819,"Estimated",,0.902,"Estimated",,0.802,"Estimated",,0.929,"Estimated",,0.88,"Estimated",,0.84,"Estimated",,0.882,"Estimated",,0.846,"Estimated",,0.646,"Estimated",,0.779,"Estimated",,0.824,"Estimated",,0.802,"Estimated",,0.809,"Estimated",
