country,percent_consumption,percent_net_exports,percent_government,percent_investment,sum
Antigua and Barbuda,0.6720716898276765,0.023441313344756284,0.15805349720815073,0.4610297575304367,1.3145962579110202
Bahamas,0.554853370348074,-0.35283757343410094,0.09232208711716994,0.5435465820854091,0.8378844661165521
Barbados,0.6548777080574331,-0.04259392216211292,0.09412464707418161,0.4054371781646959,1.1118456111341977
Belize,0.6355340820538166,0.1566022988038965,0.17552455193867866,0.06058939365696362,1.0282503264533553
Cabo Verde,0.6359314539371421,-0.30840778739976965,0.2036384521896692,0.6492263680838122,1.1803884868108538
Comoros,0.6165929012836361,-0.0863083010176604,0.11244969120496798,0.29579393220676775,0.9385282236777114
Cook Islands,0.11951499022108514,0.5773184782114421,0.29482984360139086,0.038911577950567974,1.030574889984486
Cuba,0.576025883010634,-0.03974406948721435,0.39716034909019465,-0.014492012747397174,0.918950149866217
Dominica,0.7447260820413313,-0.2696840256022963,0.1967174086940619,0.20508950347505372,0.8768489686081506
Dominican Republic,0.6472977121782422,-0.1403605635915051,0.10980092460823712,0.30855257101067646,0.9252906442056507
Fiji,0.7729213030403814,0.16639631580099673,0.12430202018518596,0.19372119997792747,1.2573408390044913
Grenada,0.6880946359972091,-0.3105899289207012,0.10894366770757197,0.3532515484833209,0.8396999232674007
Guinea-Bissau,1.019445360286141,-0.14967960935390023,0.06018108818081902,0.1774100083127641,1.107356847425824
Haiti,0.9408868211502299,0.007906980382015897,0.07986919526842001,0.0754371864151384,1.1041001832158042
Jamaica,0.8250677188181477,-0.28886747570551974,0.2587774660590484,0.2858792025977916,1.080856911769468
Kiribati,1.2277263635431488,-1.4637889913398763,0.7840256802717374,0.1944649750347585,0.7424280275097683
Maldives,0.3481190147850628,0.20816641690696402,0.17148808732939913,0.22616241226110337,0.9539359312825293
Marshall Islands,0.7260036169231572,-0.503520714975335,0.5768404811057345,0.18390672025806365,0.9832301033116203
Mauritius,0.6662526378238723,-0.1728527045038514,0.17037604522108185,0.40124914101647324,1.0650251195575762
Micronesia (Federated States of),0.3233278021376463,0.30668985018611683,0.22459340809054285,0.14538897850603147,1.0000000389203374
Nauru,1.1289150997853616,-1.30337660385463,0.5978716926422794,0.23470150809849133,0.6581116966715024
Palau,0.6776196337336202,-0.24990638798491308,0.1619337176583186,0.17976510687874153,0.7694120702857674
Papua New Guinea,0.3168924064365786,0.4488293783361882,0.22549307730153,0.15384861153308704,1.145063473607384
Samoa,0.9203788030547368,-0.1818286334875076,0.1942565048131297,0.16242456248121895,1.095231236861578
Sao Tome and Principe,0.9393982321474211,-0.5281197445878574,0.2754179380153272,0.24756858553411779,0.9342650111090087
Seychelles,0.33309635088836037,0.16183698053314227,0.4975692904702892,0.007349790992288066,0.9998524128840799
Solomon Islands,0.44795531815729867,-0.11442474493920644,0.24799433801743637,0.2727393316270876,0.8542642428626162
Suriname,0.6828055457417184,-0.11101396520617438,0.15755127060549373,0.19972030423415787,0.9290631553751957
Timor-Leste,0.7586579166032952,-1.314351630243991,1.310606973187038,0.35844882644054454,1.1133620859868867
Tonga,0.9375061411741137,-0.4062456302894293,0.20375011810551874,0.21405153797766044,0.9490621669678636
Trinidad and Tobago,0.2949997838692838,0.42090473016734686,0.09529109288898505,0.05659230586549091,0.8677879127911067
Tuvalu,0.648742907801818,-0.4422370608522108,0.5769148741996277,-0.323571182052468,0.4598495390967669
Vanuatu,0.5132980546082191,-0.0566897340190013,0.15649045701311737,0.27363942234805294,0.886738199950388
