country,percent_consumption,percent_net_exports,percent_government,percent_investment,sum
Antigua and Barbuda,-0.0441286051136393,0.0649989571428721,0.1552410659599559,0.483248194444475,0.6593596124336637
Bahamas,0.728075991252417,0.08892279038933058,0.018689232029388762,0.27268061267494126,1.1083686263460777
Barbados,0.5266655185132398,-0.007637619926216489,0.005042803481761839,0.05846798339213509,0.5825386854609204
Belize,0.6153108268783372,0.1350804620441228,0.1562927777237235,0.24901880189832368,1.1557028685445072
Cabo Verde,0.6352264581252743,-0.20562116699835592,0.16994372097220836,0.10261967070376365,0.7021686828028905
Comoros,0.8415609894311341,-0.18635391423662412,0.07898114496297086,0.18426838489147426,0.9184566050489551
Cook Islands,0.20649495383299146,0.5314783243069593,0.26760854584690635,0.06723016934580857,1.0728119933326656
Cuba,0.5846091451483374,0.006586613548967889,0.2973285813828385,-0.03551689828011921,0.8530074418000245
Dominica,0.6379643833789075,0.4556901307111015,0.18606060926965542,0.21443850824242763,1.494153631602092
Dominican Republic,0.535859704737925,0.10038381411930641,0.10521279005392267,0.28537924467371895,1.026835553584873
Fiji,0.566331156062396,0.1663985836213664,0.15900486251160356,0.12079517625770386,1.0125297784530698
Grenada,0.4846251085229633,0.05375894800500128,0.0641207935540585,0.36855264714275615,0.9710574972247793
Guinea-Bissau,0.5753935336224918,0.15401932321424033,0.09240630910821002,0.1282809414765863,0.9501001074215285
Haiti,0.92462195707189,-0.22976604510945103,0.09011508779055485,0.12670762004011785,0.9116786197931116
Jamaica,0.8945760576012257,-0.17388080802775643,0.12400381950296384,0.2937864348344251,1.1384855039108581
Kiribati,0.8001544282742379,-0.24777660968076878,0.5027934275397334,-0.10047279885697752,0.954698447276225
Maldives,0.43733381477178035,-0.29330345485062603,0.12014320537111393,0.4132891631542332,0.6774627284465015
Marshall Islands,0.5637931416811949,-1.0689750576958699,0.3323147351177839,0.5785005915599662,0.4056334106630752
Mauritius,0.7258760625208804,-0.07258313623367287,0.09590703610631385,0.25446173092938,1.0036616933229014
Micronesia (Federated States of),0.6297907058823529,0.2552166666666667,0.4374720588235294,0.2831944705882353,1.6056739019607842
Nauru,0.8266653222099717,-0.40000518767941673,0.565841783279915,0.058930714810217805,1.0514326326206878
Palau,0.5215853167165263,0.49990016325889153,0.0739433768637946,0.06712387733545325,1.1625527341746658
Papua New Guinea,0.5249899949696829,-0.03552412467559654,0.23862722184646654,0.08531984507669502,0.81341293721724794
Samoa,0.7187995759968165,0.6784605333260465,0.04332523133321587,0.2692386503018344,1.7098239909579134
Sao Tome and Principe,1.1469220551283388,-0.4196447369230316,0.24132942194363394,-0.016403882377342884,0.9522028577715982
Seychelles,0.6539268389132494,-0.21792008509232821,0.23122563728841955,0.21603099283312874,0.8832633839424695
Solomon Islands,0.5047022688632972,0.01780800482509478,0.3486044539655565,0.22189306185338672,1.0930077895073351
Suriname,0.48929400198569,-0.14678239740494528,0.16715451811120646,0.6451132271403066,1.1547793498322578
Timor-Leste,0.11552911722226616,0.7474099898090327,0.04113896354843343,0.1391781138891636,1.043256184468896
Tonga,0.6749310384376588,-0.3763704361070003,0.04297378924661339,0.525602400416083,0.8671367919933548
Trinidad and Tobago,0.3160921459512266,0.8550863523737136,0.06901301819793082,-0.5636205811668262,0.6765709353560447
Tuvalu,1.2883552136350405,-0.8359343263889059,0.881885800199938,0.2645179593764557,1.5988246468225285
Vanuatu,0.589840633197491,0.22820709964705724,0.20033460872330056,-0.0012496980865609505,1.0171326434812877
