"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2021","100","EC dollar","1993","2006","25391000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2021","100","EC dollar","1993","2006","406610000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2021","100","EC dollar","1993","2006","241320000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2021","100","EC dollar","1993","2006","99730000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2021","100","EC dollar","1993","2006","65550000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2021","100","EC dollar","1993","2006","8020000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2021","100","EC dollar","1993","2006","2804940000",""
"Antigua and Barbuda","2.2","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2021","100","EC dollar","1993","2006","49680000",""
"Antigua and Barbuda","2.2","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2021","100","EC dollar","1993","2006","403460000",""
"Antigua and Barbuda","2.2","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2021","100","EC dollar","1993","2006","3208400000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2020","100","EC dollar","1993","2006","54510000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry","A","2020","100","EC dollar","1993","2006","23300000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting and related service activities","01","2020","100","EC dollar","1993","2006","22370000",""
"Antigua and Barbuda","2.2","Industries","Forestry, logging and related service activities","02","2020","100","EC dollar","1993","2006","930000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2020","100","EC dollar","1993","2006","31210000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2020","100","EC dollar","1993","2006","37730000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2020","100","EC dollar","1993","2006","47950000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2020","100","EC dollar","1993","2006","114350000",""
