"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Fiscal Year Type","Base Year","Value","Value Footnotes"
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2021","1000","Euro","2008","Western calendar year","2015","329649000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2021","1000","Euro","2008","Western calendar year","2015","334356000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2021","1000","Euro","2008","Western calendar year","2015","4754000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2021","1000","Euro","2008","Western calendar year","2015","3216829340000","1"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2020","1000","Euro","2008","Western calendar year","2015","20769730000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2020","1000","Euro","2008","Western calendar year","2015","700839230000",""
"Germany","2.5","Industries","Manufacturing","C","2020","1000","Euro","2008","Western calendar year","2015","609113750000",""
"Germany","2.5","Industries","Construction","F","2020","1000","Euro","2008","Western calendar year","2015","128441870000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2020","1000","Euro","2008","Western calendar year","2015","437353530000",""
"Germany","2.5","Industries","Information and communication","J","2020","1000","Euro","2008","Western calendar year","2015","152138190000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2020","1000","Euro","2008","Western calendar year","2015","113129610000",""
"Germany","2.5","Industries","Real estate activities","L","2020","1000","Euro","2008","Western calendar year","2015","303086930000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2020","1000","Euro","2008","Western calendar year","2015","321889850000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2020","1000","Euro","2008","Western calendar year","2015","517220130000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2020","1000","Euro","2008","Western calendar year","2015","97571150000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2020","1000","Euro","2008","Western calendar year","2015","2794697930000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2020","1000","Euro","2008","Western calendar year","2015","323626000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2020","1000","Euro","2008","Western calendar year","2015","328230000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2020","1000","Euro","2008","Western calendar year","2015","4651000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2020","1000","Euro","2008","Western calendar year","2015","3118175870000","1"
