"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.5","Industries","Agriculture, forestry and fishing","A","2022","1000","EC dollar","2008","2018","77700000",""
"Antigua and Barbuda","2.5","Industries","Crop and animal production, hunting and related service activities","01","2022","1000","EC dollar","2008","2018","34220000",""
"Antigua and Barbuda","2.5","Industries","Forestry and logging","02","2022","1000","EC dollar","2008","2018","850000",""
"Antigua and Barbuda","2.5","Industries","Fishing and aquaculture","03","2022","1000","EC dollar","2008","2018","42610000",""
"Antigua and Barbuda","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2022","1000","EC dollar","2008","2018","294700000",""
"Antigua and Barbuda","2.5","Industries","Mining and quarrying","B","2022","1000","EC dollar","2008","2018","27300000",""
"Antigua and Barbuda","2.5","Industries","Manufacturing","C","2022","1000","EC dollar","2008","2018","107800000",""
"Antigua and Barbuda","2.5","Industries","Electricity, gas, steam and air conditioning supply","D","2022","1000","EC dollar","2008","2018","158000000",""
"Antigua and Barbuda","2.5","Industries","Water supply; sewerage, waste management and remediation activities","E","2022","1000","EC dollar","2008","2018","1600000",""
"Antigua and Barbuda","2.5","Industries","Construction","F","2022","1000","EC dollar","2008","2018","576200000",""
"Antigua and Barbuda","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2022","1000","EC dollar","2008","2018","1530000000",""
"Antigua and Barbuda","2.5","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2022","1000","EC dollar","2008","2018","699900000",""
"Antigua and Barbuda","2.5","Industries","Transportation and storage","H","2022","1000","EC dollar","2008","2018","338400000",""
"Antigua and Barbuda","2.5","Industries","Accommodation and food service activities","I","2022","1000","EC dollar","2008","2018","491700000",""
"Antigua and Barbuda","2.5","Industries","Information and communication","J","2022","1000","EC dollar","2008","2018","59400000",""
"Antigua and Barbuda","2.5","Industries","Financial and insurance activities","K","2022","1000","EC dollar","2008","2018","254200000",""
"Antigua and Barbuda","2.5","Industries","Real estate activities","L","2022","1000","EC dollar","2008","2018","235900000",""
"Antigua and Barbuda","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2022","1000","EC dollar","2008","2018","64400000",""
"Antigua and Barbuda","2.5","Industries","Professional, scientific and technical activities","M","2022","1000","EC dollar","2008","2018","36900000",""
"Antigua and Barbuda","2.5","Industries","Administrative and support service activities","N","2022","1000","EC dollar","2008","2018","27500000",""
"Antigua and Barbuda","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2022","1000","EC dollar","2008","2018","795300000",""
"Antigua and Barbuda","2.5","Industries","Public administration and defence; compulsory social security","O","2022","1000","EC dollar","2008","2018","367200000",""
"Antigua and Barbuda","2.5","Industries","Education","P","2022","1000","EC dollar","2008","2018","191700000",""
"Antigua and Barbuda","2.5","Industries","Human health and social work activities","Q","2022","1000","EC dollar","2008","2018","236400000",""
"Antigua and Barbuda","2.5","Industries","Other service activities","R+S+T","2022","1000","EC dollar","2008","2018","50100000",""
"Antigua and Barbuda","2.5","Industries","Arts, entertainment and recreation","R","2022","1000","EC dollar","2008","2018","17500000",""
"Antigua and Barbuda","2.5","Industries","Other service activities","S","2022","1000","EC dollar","2008","2018","23600000",""
"Antigua and Barbuda","2.5","Industries","Private households with employed persons","T","2022","1000","EC dollar","2008","2018","9000000",""
"Antigua and Barbuda","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2022","1000","EC dollar","2008","2018","3938000000",""
"Antigua and Barbuda","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2022","1000","EC dollar","2008","2018","507720000",""
"Antigua and Barbuda","2.5","Industries","Plus: Taxes on products","D.21","2022","1000","EC dollar","2008","2018","537700000",""
"Antigua and Barbuda","2.5","Industries","Less: Subsidies on products","D.31","2022","1000","EC dollar","2008","2018","29980000",""
"Antigua and Barbuda","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2022","1000","EC dollar","2008","2018","4446000000",""
"Antigua and Barbuda","2.5","Industries","Agriculture, forestry and fishing","A","2021","1000","EC dollar","2008","2018","75100000",""
"Antigua and Barbuda","2.5","Industries","Crop and animal production, hunting and related service activities","01","2021","1000","EC dollar","2008","2018","32010000",""
"Antigua and Barbuda","2.5","Industries","Forestry and logging","02","2021","1000","EC dollar","2008","2018","910000",""
"Antigua and Barbuda","2.5","Industries","Fishing and aquaculture","03","2021","1000","EC dollar","2008","2018","42190000",""
"Antigua and Barbuda","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2021","1000","EC dollar","2008","2018","296900000",""
"Antigua and Barbuda","2.5","Industries","Mining and quarrying","B","2021","1000","EC dollar","2008","2018","38200000",""
"Antigua and Barbuda","2.5","Industries","Manufacturing","C","2021","1000","EC dollar","2008","2018","109200000",""
"Antigua and Barbuda","2.5","Industries","Electricity, gas, steam and air conditioning supply","D","2021","1000","EC dollar","2008","2018","147700000",""
"Antigua and Barbuda","2.5","Industries","Water supply; sewerage, waste management and remediation activities","E","2021","1000","EC dollar","2008","2018","1800000",""
"Antigua and Barbuda","2.5","Industries","Construction","F","2021","1000","EC dollar","2008","2018","547300000",""
"Antigua and Barbuda","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2021","1000","EC dollar","2008","2018","1211900000",""
"Antigua and Barbuda","2.5","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2021","1000","EC dollar","2008","2018","618900000",""
"Antigua and Barbuda","2.5","Industries","Transportation and storage","H","2021","1000","EC dollar","2008","2018","284600000",""
"Antigua and Barbuda","2.5","Industries","Accommodation and food service activities","I","2021","1000","EC dollar","2008","2018","308400000",""
"Antigua and Barbuda","2.5","Industries","Information and communication","J","2021","1000","EC dollar","2008","2018","65400000",""
"Antigua and Barbuda","2.5","Industries","Financial and insurance activities","K","2021","1000","EC dollar","2008","2018","262900000",""
"Antigua and Barbuda","2.5","Industries","Real estate activities","L","2021","1000","EC dollar","2008","2018","230100000",""
"Antigua and Barbuda","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2021","1000","EC dollar","2008","2018","68000000",""
"Antigua and Barbuda","2.5","Industries","Professional, scientific and technical activities","M","2021","1000","EC dollar","2008","2018","39800000",""
"Antigua and Barbuda","2.5","Industries","Administrative and support service activities","N","2021","1000","EC dollar","2008","2018","28200000",""
"Antigua and Barbuda","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2021","1000","EC dollar","2008","2018","764600000",""
"Antigua and Barbuda","2.5","Industries","Public administration and defence; compulsory social security","O","2021","1000","EC dollar","2008","2018","345600000",""
"Antigua and Barbuda","2.5","Industries","Education","P","2021","1000","EC dollar","2008","2018","185200000",""
"Antigua and Barbuda","2.5","Industries","Human health and social work activities","Q","2021","1000","EC dollar","2008","2018","233800000",""
"Antigua and Barbuda","2.5","Industries","Other service activities","R+S+T","2021","1000","EC dollar","2008","2018","52400000",""
"Antigua and Barbuda","2.5","Industries","Arts, entertainment and recreation","R","2021","1000","EC dollar","2008","2018","16000000",""
"Antigua and Barbuda","2.5","Industries","Other service activities","S","2021","1000","EC dollar","2008","2018","25700000",""
"Antigua and Barbuda","2.5","Industries","Private households with employed persons","T","2021","1000","EC dollar","2008","2018","10700000",""
"Antigua and Barbuda","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2021","1000","EC dollar","2008","2018","3575000000",""
