"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Value","Value Footnotes"
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1973","10","EC dollar                               ","1968","6700000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1973","10","EC dollar                               ","1968","700000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1973","10","EC dollar                               ","1968","10100000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1973","10","EC dollar                               ","1968","1100000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1973","10","EC dollar                               ","1968","9000000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1973","10","EC dollar                               ","1968","19600000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1973","10","EC dollar                               ","1968","17000000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1973","10","EC dollar                               ","1968","20700000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1973","10","EC dollar                               ","1968","14300000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1973","10","EC dollar                               ","1968","4800000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1973","10","EC dollar                               ","1968","104000000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1973","10","EC dollar                               ","1968","4100000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1973","10","EC dollar                               ","1968","99900000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1974","10","EC dollar                               ","1968","7800000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1974","10","EC dollar                               ","1968","800000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1974","10","EC dollar                               ","1968","9900000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1974","10","EC dollar                               ","1968","1400000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1974","10","EC dollar                               ","1968","8900000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1974","10","EC dollar                               ","1968","21100000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1974","10","EC dollar                               ","1968","18400000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1974","10","EC dollar                               ","1968","22800000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1974","10","EC dollar                               ","1968","18000000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1974","10","EC dollar                               ","1968","6500000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1974","10","EC dollar                               ","1968","115400000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1974","10","EC dollar                               ","1968","3800000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1974","10","EC dollar                               ","1968","111600000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1975","10","EC dollar                               ","1968","9600000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1975","10","EC dollar                               ","1968","700000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1975","10","EC dollar                               ","1968","11100000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1975","10","EC dollar                               ","1968","1400000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1975","10","EC dollar                               ","1968","9000000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1975","10","EC dollar                               ","1968","26500000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1975","10","EC dollar                               ","1968","20100000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1975","10","EC dollar                               ","1968","24000000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1975","10","EC dollar                               ","1968","15300000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1975","10","EC dollar                               ","1968","6700000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1975","10","EC dollar                               ","1968","124300000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1975","10","EC dollar                               ","1968","3700000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1975","10","EC dollar                               ","1968","120600000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1976","10","EC dollar                               ","1968","10900000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1976","10","EC dollar                               ","1968","1100000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1976","10","EC dollar                               ","1968","5100000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1976","10","EC dollar                               ","1968","1300000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1976","10","EC dollar                               ","1968","10400000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1976","10","EC dollar                               ","1968","28100000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1976","10","EC dollar                               ","1968","22000000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1976","10","EC dollar                               ","1968","24000000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1976","10","EC dollar                               ","1968","16600000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1976","10","EC dollar                               ","1968","6300000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1976","10","EC dollar                               ","1968","125700000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1976","10","EC dollar                               ","1968","5000000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1976","10","EC dollar                               ","1968","120800000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1977","20","EC dollar                               ","1968","17400000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1977","10","EC dollar                               ","1968","11600000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1977","20","EC dollar                               ","1968","800000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1977","10","EC dollar                               ","1968","1000000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1977","20","EC dollar                               ","1968","6900000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1977","10","EC dollar                               ","1968","6900000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1977","20","EC dollar                               ","1968","5700000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1977","10","EC dollar                               ","1968","2100000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1977","20","EC dollar                               ","1968","10900000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1977","10","EC dollar                               ","1968","10900000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1977","20","EC dollar                               ","1968","35600000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1977","10","EC dollar                               ","1968","35600000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1977","20","EC dollar                               ","1968","25200000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1977","10","EC dollar                               ","1968","26000000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1977","20","EC dollar                               ","1968","29300000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1977","10","EC dollar                               ","1968","28100000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1977","20","EC dollar                               ","1968","21500000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1977","10","EC dollar                               ","1968","19400000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1977","20","EC dollar                               ","1968","12000000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1977","10","EC dollar                               ","1968","6900000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1977","20","EC dollar                               ","1968","165300000","1"
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1977","10","EC dollar                               ","1968","148600000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1977","20","EC dollar                               ","1968","6600000",""
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1977","10","EC dollar                               ","1968","6600000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1977","20","EC dollar                               ","1968","19900000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1977","20","EC dollar                               ","1968","178600000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1977","10","EC dollar                               ","1968","142000000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1978","20","EC dollar                               ","1968","18200000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1978","20","EC dollar                               ","1968","400000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1978","20","EC dollar                               ","1968","8700000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1978","20","EC dollar                               ","1968","3600000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1978","20","EC dollar                               ","1968","11800000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1978","20","EC dollar                               ","1968","41400000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1978","20","EC dollar                               ","1968","29400000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1978","20","EC dollar                               ","1968","31800000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1978","20","EC dollar                               ","1968","25700000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1978","20","EC dollar                               ","1968","13300000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1978","20","EC dollar                               ","1968","184300000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1978","20","EC dollar                               ","1968","7100000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1978","20","EC dollar                               ","1968","25000000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1978","20","EC dollar                               ","1968","202200000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1979","20","EC dollar                               ","1968","17900000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1979","20","EC dollar                               ","1968","1200000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1979","20","EC dollar                               ","1968","10700000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1979","20","EC dollar                               ","1968","4900000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1979","20","EC dollar                               ","1968","17500000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1979","20","EC dollar                               ","1968","53600000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1979","20","EC dollar                               ","1968","39400000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1979","20","EC dollar                               ","1968","36000000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1979","20","EC dollar                               ","1968","30600000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1979","20","EC dollar                               ","1968","14400000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1979","20","EC dollar                               ","1968","226200000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1979","20","EC dollar                               ","1968","8800000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1979","20","EC dollar                               ","1968","31600000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1979","20","EC dollar                               ","1968","249000000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1980","20","EC dollar                               ","1968","18300000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1980","20","EC dollar                               ","1968","1500000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1980","20","EC dollar                               ","1968","13700000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1980","20","EC dollar                               ","1968","8200000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1980","20","EC dollar                               ","1968","23200000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1980","20","EC dollar                               ","1968","66400000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1980","20","EC dollar                               ","1968","41600000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1980","20","EC dollar                               ","1968","42200000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1980","20","EC dollar                               ","1968","35600000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1980","20","EC dollar                               ","1968","16700000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1980","20","EC dollar                               ","1968","267400000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1980","20","EC dollar                               ","1968","10300000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1980","20","EC dollar                               ","1968","40000000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1980","20","EC dollar                               ","1968","297100000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1981","20","EC dollar                               ","1968","19600000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1981","20","EC dollar                               ","1968","1700000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1981","20","EC dollar                               ","1968","14600000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1981","20","EC dollar                               ","1968","9400000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1981","20","EC dollar                               ","1968","27700000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1981","20","EC dollar                               ","1968","70700000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1981","20","EC dollar                               ","1968","48200000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1981","20","EC dollar                               ","1968","48600000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1981","20","EC dollar                               ","1968","42100000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1981","20","EC dollar                               ","1968","19900000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1981","20","EC dollar                               ","1968","302500000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1981","20","EC dollar                               ","1968","13100000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1981","20","EC dollar                               ","1968","46700000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1981","20","EC dollar                               ","1968","336100000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1982","20","EC dollar                               ","1968","19700000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1982","20","EC dollar                               ","1968","1500000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1982","20","EC dollar                               ","1968","16800000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1982","20","EC dollar                               ","1968","7600000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1982","20","EC dollar                               ","1968","20400000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1982","20","EC dollar                               ","1968","77200000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1982","20","EC dollar                               ","1968","56900000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1982","20","EC dollar                               ","1968","56700000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1982","20","EC dollar                               ","1968","53800000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1982","20","EC dollar                               ","1968","23400000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1982","20","EC dollar                               ","1968","334000000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1982","20","EC dollar                               ","1968","16900000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1982","20","EC dollar                               ","1968","55300000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1982","20","EC dollar                               ","1968","372400000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1983","20","EC dollar                               ","1968","21800000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1983","20","EC dollar                               ","1968","2300000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1983","20","EC dollar                               ","1968","17600000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1983","20","EC dollar                               ","1968","10300000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1983","20","EC dollar                               ","1968","20500000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1983","20","EC dollar                               ","1968","84200000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1983","20","EC dollar                               ","1968","63500000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1983","20","EC dollar                               ","1968","65300000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1983","20","EC dollar                               ","1968","59500000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1983","20","EC dollar                               ","1968","28100000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1983","20","EC dollar                               ","1968","373100000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1983","20","EC dollar                               ","1968","17000000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1983","20","EC dollar                               ","1968","57700000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1983","20","EC dollar                               ","1968","413800000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1984","20","EC dollar                               ","1968","19300000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1984","20","EC dollar                               ","1968","3000000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1984","20","EC dollar                               ","1968","19300000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1984","20","EC dollar                               ","1968","12500000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1984","20","EC dollar                               ","1968","27300000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1984","20","EC dollar                               ","1968","101800000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1984","20","EC dollar                               ","1968","70900000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1984","20","EC dollar                               ","1968","74500000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1984","20","EC dollar                               ","1968","63400000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1984","20","EC dollar                               ","1968","33200000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1984","20","EC dollar                               ","1968","425200000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1984","20","EC dollar                               ","1968","21900000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1984","20","EC dollar                               ","1968","65000000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1984","20","EC dollar                               ","1968","468300000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1985","20","EC dollar                               ","1968","23200000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1985","20","EC dollar                               ","1968","4600000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1985","20","EC dollar                               ","1968","20300000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1985","20","EC dollar                               ","1968","17200000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1985","20","EC dollar                               ","1968","35700000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1985","20","EC dollar                               ","1968","121700000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1985","20","EC dollar                               ","1968","81400000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1985","20","EC dollar                               ","1968","79900000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1985","20","EC dollar                               ","1968","67900000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1985","20","EC dollar                               ","1968","39200000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1985","20","EC dollar                               ","1968","491100000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1985","20","EC dollar                               ","1968","26100000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1985","20","EC dollar                               ","1968","75900000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1985","20","EC dollar                               ","1968","540900000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1986","20","EC dollar                               ","1968","24600000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1986","20","EC dollar                               ","1968","9900000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1986","20","EC dollar                               ","1968","21500000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1986","20","EC dollar                               ","1968","19900000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1986","20","EC dollar                               ","1968","50600000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1986","20","EC dollar                               ","1968","133600000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1986","20","EC dollar                               ","1968","88400000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1986","20","EC dollar                               ","1968","85000000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1986","20","EC dollar                               ","1968","89700000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1986","20","EC dollar                               ","1968","43900000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1986","20","EC dollar                               ","1968","567100000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1986","20","EC dollar                               ","1968","30000000",""
"Antigua and Barbuda","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","1986","20","EC dollar                               ","1968","104700000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1986","20","EC dollar                               ","1968","641800000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1987","20","EC dollar                               ","1968","29300000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1987","20","EC dollar                               ","1968","14400000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1987","20","EC dollar                               ","1968","23000000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1987","20","EC dollar                               ","1968","22400000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1987","20","EC dollar                               ","1968","73100000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1987","20","EC dollar                               ","1968","156300000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1987","20","EC dollar                               ","1968","101000000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1987","20","EC dollar                               ","1968","94200000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1987","20","EC dollar                               ","1968","88500000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1987","20","EC dollar                               ","1968","46600000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1987","20","EC dollar                               ","1968","648800000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1987","20","EC dollar                               ","1968","32700000",""
